date_pub,statut_ex,bib,pret,diff_datecreation_datepub,acces,acq,indice
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
2003,19,LASH,0,13,direct,achat,89
2015,19,SJA,0,2,direct,achat,15
2016,19,SCIEN,0,0,direct,achat,56
2016,19,SJA,1,0,direct,achat,33
2016,19,MEDP,1,0,direct,don,QT
2016,19,SJA,0,0,direct,achat,65
2006,19,LASH,0,10,direct,achat,89
2012,19,LASH,1,8,direct,achat,15
1990,19,DROIT,0,26,indirect,don,numinv
1990,19,DROIT,1,26,direct,don,32
2015,19,LASH,1,1,direct,achat,19
1934,19,DROIT,0,82,direct,achat,numinv
1964,19,DROIT,0,52,direct,achat,numinv
2016,19,LASH,0,0,direct,achat,79
2015,19,EPU,1,1,direct,achat,65
2016,19,EPU,1,0,direct,achat,65
2012,19,EPU,0,9,direct,achat,42
2001,19,SJA,0,15,direct,don,30
1920,19,LASH,0,100,indirect,achat,numinv
1934,19,DROIT,0,82,direct,achat,numinv
2014,19,SJA,1,7,direct,don,65
2002,19,DROIT,1,14,direct,don,32
1999,19,LASH,1,22,direct,don,42
2016,19,LASH,0,0,direct,achat,84
2015,19,LASH,1,1,direct,achat,84
2016,19,DROIT,1,0,direct,achat,34
2015,19,EPU,1,2,direct,achat,36
2016,19,LASH,1,1,direct,achat,79
2004,19,DROIT,0,12,direct,don,32
2016,19,LASH,1,0,direct,achat,42
2016,19,LASH,1,0,direct,achat,33
2016,19,EPU,1,0,direct,achat,62
1979,19,LASH,0,42,direct,achat,70
1928,19,LASH,0,93,indirect,don,numinv
2012,19,LASH,1,4,direct,achat,84
2016,19,EPU,1,1,direct,achat,00
2015,19,DROIT,0,1,direct,achat,35
2015,19,DROIT,1,1,direct,achat,34
2015,19,DROIT,1,1,direct,achat,34
1980,19,DROIT,0,36,direct,don,94
1958,19,SJA,0,62,direct,achat,94
2016,19,SCIEN,1,0,direct,achat,00
2016,19,DROIT,1,0,direct,don,34
2016,19,SJA,0,0,direct,achat,65
1934,19,DROIT,0,81,direct,achat,numinv
1934,19,DROIT,0,81,direct,achat,numinv
2016,19,SJA,1,0,direct,achat,30
2016,19,SJA,1,0,direct,achat,30
2016,19,SJA,0,0,direct,achat,30
2016,19,EPU,1,1,direct,achat,65
2016,19,DROIT,1,1,direct,achat,34
2014,19,DROIT,1,2,direct,achat,34
1999,19,DROIT,1,17,direct,don,32
2002,19,DROIT,0,14,direct,don,32
2005,19,DROIT,0,11,direct,don,32
2016,19,DROIT,1,0,direct,achat,34
2014,19,LASH,1,2,direct,achat,79
2012,19,SJA,1,4,direct,don,33
2008,19,SJA,0,12,direct,don,33
2009,19,LASH,1,8,direct,achat,11
2005,19,LASH,0,13,indirect,achat,numinv
1989,19,LASH,0,31,indirect,achat,numinv
1988,19,LASH,0,32,indirect,achat,numinv
2016,19,LASH,0,0,direct,achat,75
2016,19,EPU,0,0,direct,achat,57
2010,19,LASH,1,5,direct,achat,49
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,0,0,indirect,achat,numinv
2012,19,SJA,1,7,direct,achat,42
2011,19,LASH,1,6,direct,achat,35
2017,19,SCIEN,0,0,direct,achat,65
2013,19,SCIEN,1,2,direct,achat,54
1997,19,LASH,1,18,direct,don,30
1996,19,SCIEN,1,22,direct,achat,54
2012,19,DROIT,1,7,direct,achat,34
1990,19,SJA,0,30,direct,don,33
1972,19,LASH,0,43,indirect,achat,numinv
1997,19,LASH,0,22,direct,achat,94
2013,19,MEDP,1,6,direct,achat,WY
2008,19,LASH,1,7,direct,don,94
1958,19,DROIT,0,57,direct,achat,numinv
1982,19,DROIT,0,33,direct,achat,numinv
1972,19,DROIT,0,43,direct,achat,numinv
2010,19,STAPS,1,7,direct,achat,79
2007,19,LASH,0,8,direct,achat,79
2013,19,LASH,1,5,direct,achat,15
1969,19,LASH,0,51,direct,achat,19
1947,19,SJA,0,73,direct,achat,33
1975,19,SJA,0,45,direct,achat,33
2013,19,DROIT,1,2,indirect,don,numinv
2008,19,SCIEN,1,8,direct,achat,61
2005,19,SJA,0,11,direct,don,90
2013,19,LASH,1,5,direct,achat,79
2014,19,DROIT,1,1,direct,achat,34
2014,19,SJA,0,1,direct,achat,33
1964,19,LASH,0,57,direct,don,15
1992,19,SJA,0,28,direct,don,33
2008,19,SJA,0,13,direct,don,65
1975,19,DROIT,0,40,direct,achat,numinv
2013,19,SJA,1,3,direct,don,30
2011,19,LASH,1,5,direct,don,84
1974,19,LASH,0,46,indirect,achat,numinv
2001,19,LASH,0,18,direct,achat,94
1987,19,LASH,0,34,direct,don,78
1995,19,SJA,1,24,direct,achat,30
1997,19,SJA,1,20,direct,achat,33
2009,19,LASH,0,10,direct,achat,94
1960,19,LASH,1,55,direct,don,93
2007,19,LASH,0,10,direct,achat,18
1992,19,SJA,0,24,direct,achat,30
2002,19,LASH,1,13,direct,don,32
2014,19,LASH,1,1,direct,don,30
2014,19,SJA,1,1,direct,achat,33
2013,19,SJA,1,2,direct,achat,33
1995,19,SJA,0,22,direct,don,32
1995,19,LASH,1,26,direct,don,81
2002,19,SJA,1,14,direct,don,42
2002,19,SJA,0,14,direct,don,42
1996,19,LASH,1,20,direct,achat,60
2015,19,SJA,1,1,direct,achat,WU
1968,19,DROIT,0,47,direct,achat,numinv
2014,19,SJA,0,1,direct,achat,65
1999,19,LASH,1,17,direct,achat,11
1939,19,LASH,0,77,direct,achat,12
2014,19,LASH,1,6,direct,achat,15
2014,19,LASH,0,6,direct,achat,15
2003,19,LASH,0,18,direct,don,30
2015,19,LASH,1,1,direct,achat,77
2015,19,LASH,1,1,direct,achat,42
2013,19,MEDP,1,3,direct,achat,WY
2011,19,SJA,0,7,direct,don,65
2011,19,DROIT,1,5,indirect,don,numinv
1999,19,SJA,0,17,direct,don,65
2004,19,SJA,1,12,direct,don,65
1984,19,DROIT,0,32,indirect,don,numinv
2015,19,SJA,1,0,direct,achat,33
2010,19,SJA,1,6,direct,achat,30
2015,19,SJA,0,1,direct,achat,32
2015,19,SJA,1,1,direct,achat,32
2015,19,SCIEN,1,1,direct,achat,51
2016,19,EPU,1,0,direct,achat,51
2016,19,STAPS,1,0,direct,achat,61
1969,19,SJA,0,50,direct,achat,59
2014,19,MEDP,1,7,direct,achat,W 
1972,19,LASH,0,48,indirect,achat,numinv
1977,19,LASH,0,44,direct,don,15
2016,19,DROIT,0,0,direct,achat,34
2003,19,LASH,1,14,indirect,don,numinv
2015,19,DROIT,1,1,direct,achat,32
2013,19,SCIEN,1,4,direct,achat,51
1987,19,SJA,0,34,direct,don,33
2016,18,MEDP,1,0,direct,achat,WJ
2016,18,ARCHE,1,0,direct,achat,WJ
2016,18,MEDP,0,0,direct,achat,WK
2015,19,DROIT,1,1,direct,achat,34
1997,19,LASH,0,23,indirect,achat,numinv
2001,19,SJA,0,19,direct,don,33
1990,19,LASH,1,28,indirect,achat,numinv
2014,19,SJA,1,2,direct,achat,33
2014,19,LASH,1,1,direct,achat,07
2008,19,LASH,1,7,direct,don,32
2002,19,SJA,0,17,direct,don,30
2015,19,DROIT,1,1,direct,don,37
2015,19,SJA,0,5,direct,don,37
2013,19,LASH,0,3,direct,achat,83
2015,19,SCIEN,0,1,direct,achat,53
2016,19,SCIEN,1,0,direct,achat,53
2015,19,SCIEN,1,0,direct,achat,51
2015,19,SJA,1,1,direct,achat,WU
2002,19,DROIT,1,17,direct,don,34
2013,19,SJA,1,7,direct,don,57
2015,19,SJA,0,4,direct,achat,33
2004,19,LASH,1,13,indirect,don,numinv
2015,19,SCIEN,0,1,direct,achat,57
2016,19,SCIEN,1,0,direct,achat,57
2004,19,DROIT,1,11,indirect,don,numinv
2012,19,EPU,1,3,direct,achat,33
2014,18,MEDP,1,1,direct,achat,WA
2015,18,SJA,1,0,direct,achat,61
2014,19,LASH,0,2,direct,achat,78
2012,19,LASH,1,4,direct,achat,85
2016,19,LASH,1,0,direct,achat,91
2015,19,LASH,1,1,direct,achat,37
2009,19,MEDP,0,12,direct,don,QS
2015,19,EPU,1,0,direct,achat,00
2015,19,SCIEN,1,0,direct,achat,33
2014,19,LASH,1,1,direct,achat,75
2016,19,DROIT,1,0,direct,achat,95
2016,19,DROIT,0,0,direct,achat,32
2016,19,SJA,1,0,direct,achat,91
1993,19,SJA,0,23,direct,don,39
1997,19,LASH,0,18,direct,don,94
2015,19,SJA,1,1,direct,achat,65
1972,19,SJA,0,48,direct,achat,33
2015,19,LASH,0,1,direct,achat,79
2015,19,DROIT,1,1,direct,achat,34
2015,18,MEDP,1,1,direct,achat,WM
2016,18,MEDP,1,0,direct,achat,WE
2016,18,SJA,1,0,direct,achat,W 
2015,19,DROIT,1,1,direct,achat,34
1993,19,DROIT,0,22,direct,achat,numinv
1978,19,DROIT,0,37,direct,achat,numinv
2015,19,SCIEN,1,0,direct,achat,00
2015,19,SCIEN,1,0,direct,achat,33
2016,19,DROIT,0,0,indirect,achat,numinv
2014,19,SJA,1,2,direct,achat,30
2016,19,SJA,0,0,direct,achat,36
2010,19,SJA,1,6,direct,achat,33
2014,19,SCIEN,1,1,direct,achat,33
1935,19,DROIT,0,80,direct,achat,numinv
1999,19,LASH,0,22,direct,achat,96
1999,19,LASH,0,16,direct,don,44
2007,19,LASH,1,8,direct,don,94
1983,19,LASH,0,32,direct,don,30
2008,19,LASH,0,9,indirect,don,numinv
2014,19,SCIEN,1,2,direct,achat,00
2013,19,SCIEN,1,2,direct,achat,61
2014,19,LASH,1,1,direct,don,11
1995,19,LASH,1,24,direct,achat,94
2014,19,SJA,1,2,direct,achat,65
2014,19,DROIT,1,1,direct,achat,34
1962,19,LASH,1,54,direct,achat,18
1962,19,LASH,1,54,direct,achat,18
1953,19,LASH,0,63,direct,achat,16
1921,19,DROIT,0,94,direct,achat,numinv
2000,19,LASH,1,15,direct,don,44
2008,19,LASH,1,7,direct,don,44
2002,19,LASH,1,13,direct,achat,29
1999,19,LASH,1,17,direct,achat,78
2016,19,SCIEN,1,0,direct,achat,51
2014,19,LASH,0,1,direct,don,89
1955,19,DROIT,0,60,direct,achat,numinv
1955,19,DROIT,0,60,direct,achat,numinv
2016,19,LASH,1,0,direct,achat,30
1999,19,LASH,1,16,direct,don,44
1987,19,LASH,1,29,direct,achat,94
2003,19,LASH,0,13,direct,achat,19
2014,19,SCIEN,1,1,direct,achat,61
1972,19,LASH,0,44,direct,achat,18
1950,19,LASH,0,66,indirect,achat,numinv
1960,19,LASH,0,60,direct,achat,19
1968,19,SJA,0,51,direct,achat,30
2013,19,LASH,1,2,direct,achat,86
1986,19,DROIT,1,30,direct,don,94
2014,19,LASH,1,2,direct,achat,83
1987,19,DROIT,0,28,direct,achat,numinv
2014,19,SCIEN,1,1,direct,achat,61
2015,18,SJA,1,0,direct,achat,61
2015,18,MEDP,1,0,direct,achat,WK
2015,18,ARCHE,1,0,direct,achat,WE
2014,18,MEDP,1,1,direct,achat,WL
2014,18,MEDP,1,1,direct,achat,WG
1939,19,LASH,0,76,direct,don,89
2015,19,LASH,1,1,direct,achat,12
2014,19,EPU,1,1,direct,achat,00
1982,19,SJA,1,37,direct,achat,65
2008,19,LASH,0,8,direct,achat,33
2014,18,SJA,1,1,direct,achat,61
2014,19,SJA,1,1,direct,achat,65
2014,19,DROIT,0,1,direct,achat,34
2015,19,DROIT,1,0,direct,achat,34
2002,19,LASH,1,13,direct,don,85
2006,19,LASH,1,9,direct,don,85
1989,19,LASH,0,29,indirect,don,numinv
1971,19,SJA,0,49,direct,achat,33
1947,19,LASH,0,68,indirect,don,numinv
2014,19,DROIT,1,1,direct,achat,34
2015,19,DROIT,1,0,direct,achat,34
2009,19,LASH,1,8,indirect,don,numinv
1895,19,DROIT,0,120,direct,achat,numinv
1960,19,DROIT,0,55,direct,achat,numinv
1973,19,LASH,0,47,indirect,achat,numinv
2010,19,LASH,1,5,direct,achat,15
1970,19,DROIT,0,45,direct,don,34
2015,19,SJA,0,2,direct,achat,33
1976,19,LASH,0,44,indirect,achat,numinv
1999,19,LASH,1,16,indirect,don,numinv
2020,19,MEDP,1,0,direct,don,QS
2020,19,MEDP,1,0,direct,achat,QS
1985,19,SJA,1,35,direct,don,30
2020,19,LASH,0,0,direct,achat,30
2015,18,SJA,1,0,direct,achat,WB
2009,19,DROIT,0,6,direct,achat,numinv
1998,19,SJA,0,22,direct,don,30
2007,19,LASH,1,8,direct,don,85
2008,19,LASH,0,7,indirect,don,numinv
2020,19,MEDP,0,0,direct,achat,WB
2015,18,ARCHE,0,0,direct,achat,WK
1975,19,DROIT,0,40,direct,achat,numinv
1952,19,SJA,0,68,direct,achat,33
2014,19,SJA,0,6,direct,achat,33
2014,19,SJA,0,6,direct,achat,33
2019,19,SJA,1,1,direct,achat,65
1920,19,SJA,0,100,direct,achat,33
2012,19,LASH,0,3,direct,achat,79
2005,19,LASH,0,10,direct,achat,78
2020,19,DROIT,1,0,direct,achat,34
2005,19,SJA,0,10,direct,achat,33
1974,19,DROIT,0,41,direct,achat,numinv
1974,19,DROIT,0,41,direct,achat,numinv
1994,19,LASH,0,25,direct,don,11
2015,19,SCIEN,1,0,direct,achat,51
1980,19,LASH,0,40,indirect,achat,numinv
1968,19,LASH,0,52,indirect,achat,numinv
2015,19,SJA,0,5,direct,achat,34
2014,19,LASH,1,1,direct,achat,79
2014,19,LASH,0,1,direct,achat,70
2014,19,LASH,0,2,indirect,achat,numinv
2019,19,SJA,1,1,direct,achat,30
2019,19,SJA,0,1,direct,achat,36
2020,19,EPU,0,1,direct,achat,00
2020,19,SCIEN,1,0,direct,achat,00
2020,19,DROIT,0,0,direct,achat,34
2020,19,SJA,1,0,direct,achat,WU
2020,18,MEDP,0,0,direct,achat,WA
2008,19,LASH,0,7,direct,achat,33
2014,19,SJA,1,1,direct,achat,65
2015,19,DROIT,1,0,indirect,achat,numinv
2008,19,SJA,1,10,direct,achat,65
2004,19,SJA,0,16,direct,don,33
1953,19,SJA,0,67,direct,achat,50
1939,19,SJA,0,81,direct,achat,30
1975,19,LASH,0,41,indirect,don,numinv
1921,19,LASH,0,99,indirect,achat,numinv
2020,19,SCIEN,0,0,direct,achat,57
2003,19,LASH,0,12,indirect,don,numinv
2015,19,SJA,1,0,direct,achat,33
